Index,Date,Open,High,Low,Close
SENSEX,2022-12-28,60811.52,61075.33,60713.77,60910.28
SENSEX,2022-12-29,60628.29,61210.65,60479.06,61133.88
SENSEX,2022-12-30,61329.16,61392.68,60743.71,60840.74
SENSEX,2023-01-02,60871.24,61222.79,60764.63,61167.79
SENSEX,2023-01-03,61074.88,61343.96,61004.04,61294.2
SENSEX,2023-01-04,61294.65,61327.21,60593.56,60657.45
SENSEX,2023-01-05,60847.5,60877.06,60049.84,60353.27
SENSEX,2023-01-06,60388.74,60537.63,59669.91,59900.37
SENSEX,2023-01-09,60147.07,60889.41,60109.94,60747.31
SENSEX,2023-01-10,60805.14,60809.65,59938.38,60115.48
SENSEX,2023-01-11,60134.56,60364.77,59805.78,60105.5
SENSEX,2023-01-12,60083.03,60290.35,59632.32,59958.03
SENSEX,2023-01-13,60044.96,60418.26,59628.43,60261.18
SENSEX,2023-01-16,60550.5,60586.77,59963.83,60092.97
SENSEX,2023-01-17,60142.08,60704.48,60072.34,60655.72
SENSEX,2023-01-18,60716.03,61110.25,60569.19,61045.74
SENSEX,2023-01-19,60920.02,61032.47,60716.55,60858.43
SENSEX,2023-01-20,60901.16,61001.18,60585.25,60621.77
SENSEX,2023-01-23,60876.01,61113.27,60761.88,60941.67
SENSEX,2023-01-24,61122.2,61266.06,60849.12,60978.75
SENSEX,2023-01-25,60834.73,60899.21,60081.36,60205.06
SENSEX,2023-01-27,60166.9,60166.9,58974.7,59330.9
SENSEX,2023-01-30,59101.69,59644.24,58699.2,59500.41
SENSEX,2023-01-31,59770.83,59787.63,59104.59,59549.9
SENSEX,2023-02-01,60001.17,60773.44,58816.84,59708.08
SENSEX,2023-02-02,59459.87,60007.67,59215.62,59932.24
SENSEX,2023-02-03,60350.01,60905.34,60013.06,60841.88
SENSEX,2023-02-06,60847.21,60847.21,60345.61,60506.9
SENSEX,2023-02-07,60511.32,60655.14,60063.49,60286.04
SENSEX,2023-02-08,60332.99,60792.1,60324.92,60663.79
SENSEX,2023-02-09,60715.89,60863.63,60472.81,60806.22
SENSEX,2023-02-10,60706.81,60774.14,60501.74,60682.7
SENSEX,2023-02-13,60652.82,60740.95,60245.05,60431.84
SENSEX,2023-02-14,60550.25,61102.74,60550.25,61032.26
SENSEX,2023-02-15,60990.05,61352.55,60750.32,61275.09
SENSEX,2023-02-16,61566.22,61682.25,61196.72,61319.51
SENSEX,2023-02-17,60993.54,61302.72,60810.67,61002.57
SENSEX,2023-02-20,61112.84,61290.19,60607.02,60691.54
SENSEX,2023-02-21,60770.43,60976.59,60583.72,60672.72
SENSEX,2023-02-22,60391.86,60462.9,59681.55,59744.98
SENSEX,2023-02-23,59777.64,59960.04,59406.31,59605.8
SENSEX,2023-02-24,59859.48,59908.77,59325.34,59463.93
SENSEX,2023-02-27,59331.31,59441.13,58937.64,59288.35
SENSEX,2023-02-28,59346.61,59483.72,58795.97,58962.12
SENSEX,2023-03-01,59136.48,59475.45,59109.54,59411.08
SENSEX,2023-03-02,59287.18,59423.79,58866.26,58909.35
SENSEX,2023-03-03,59241.2,59967.04,59231.58,59808.97
SENSEX,2023-03-06,60007.04,60498.48,60005.65,60224.46
SENSEX,2023-03-08,59916.1,60402.85,59844.82,60348.09
SENSEX,2023-03-09,60467.09,60467.09,59750.53,59806.28
SENSEX,2023-03-10,59259.83,59262.47,58884.98,59135.13
SENSEX,2023-03-13,59033.77,59510.92,58094.55,58237.85
SENSEX,2023-03-14,58168.75,58490.98,57721.16,57900.19
SENSEX,2023-03-15,58268.54,58473.63,57455.67,57555.9
SENSEX,2023-03-16,57510.8,57887.46,57158.69,57634.84
SENSEX,2023-03-17,58038.17,58178.94,57503.9,57989.9
SENSEX,2023-03-20,57773.55,57829.23,57084.91,57628.95
SENSEX,2023-03-21,57963.27,58133.33,57730.09,58074.68
SENSEX,2023-03-22,58245.26,58418.78,58063.5,58214.59
SENSEX,2023-03-23,58061.41,58396.17,57838.85,57925.28
SENSEX,2023-03-24,57890.66,58066.4,57422.98,57527.1
SENSEX,2023-03-27,57566.9,58019.55,57415.02,57653.86
SENSEX,2023-03-28,57751.5,57949.45,57494.91,57613.72
SENSEX,2023-03-29,57572.08,58124.2,57524.32,57960.09
SENSEX,2023-03-31,58273.86,59068.47,58273.86,58991.52
SENSEX,2023-04-03,59131.16,59204.82,58793.08,59106.44
SENSEX,2023-04-05,59094.71,59747.12,59094.4,59689.31
SENSEX,2023-04-06,59627.01,59950.06,59520.12,59832.97
SENSEX,2023-04-10,59858.98,60109.11,59766.23,59846.51
SENSEX,2023-04-11,60028.6,60267.68,59919.88,60157.72
SENSEX,2023-04-12,60180.2,60437.64,60094.69,60392.77
SENSEX,2023-04-13,60364.41,60486.91,60081.43,60431.0
SENSEX,2023-04-17,60385.9,60407.86,59442.47,59910.75
SENSEX,2023-04-18,59991.26,60113.47,59579.3,59727.01
